edad,educ,wage
25,6,1508.0260466385062
21,0,2472.57777071982
57,1,3248.3998556464576
61,5,2117.9256831411394
62,7,1937.9360438497997
47,0,1512.8836692136267
71,0,2689.5916300132526
42,7,2201.6391276855456
24,5,2344.9310547358355
52,1,2511.506093404278
64,8,3210.094950152242
61,12,1312.825704361031
44,14,1598.708642898791
57,13,2050.3694312621237
70,13,2796.588800848649
54,3,2143.626380266661
34,7,2929.1508165119194
39,9,2507.9521615324675
32,1,2847.6405348836615
66,1,2803.5596939034817
42,9,2759.384730972967
50,8,2594.4819307216676
56,3,2562.272410451115
74,4,1826.3211543386124
77,4,3734.1077481420743
58,12,2477.027883179741
46,5,3407.042514782025
26,1,2321.580436684711
74,8,2210.51473887379
56,12,2282.477633595211
50,7,2169.0347125587327
73,9,2258.431673542713
38,3,2709.945683192801
45,13,3508.6250090472595
26,6,3130.6948818926476
74,6,2989.6432903890227
56,13,2587.2910715187054
35,4,2432.8860464156337
51,8,4537.1366921690205
70,9,2867.0725074738284
43,6,3340.1045178436607
74,12,1185.557977597576
76,7,1486.8307926606838
26,0,3741.7521176740784
44,6,1812.4125256926955
40,6,1554.045420918766
23,14,2817.9265227956907
52,8,2308.372676084637
46,2,2171.4936348031956
68,13,2391.330262570857
52,7,1856.2038062195531
72,0,2941.179498759782
58,9,2187.8634391904097
29,13,2517.043036485461
41,12,1948.0118482559174
64,4,2205.6635520425693
74,0,3464.5263795486253
66,13,2682.450689604304
37,4,1277.5183966393251
32,5,2262.3671607937013
44,11,2717.0285326045064
23,4,2012.888934083751
18,5,3152.5142721197567
79,0,2246.6172038130367
71,11,2270.9675254298863
75,6,2451.82897923008
53,0,3729.3596842213647
54,2,2162.5743902652707
58,10,1707.8419644404644
22,4,2993.922910859776
37,2,2309.53001647063
71,1,1887.1759508445552
77,9,2901.293176964899
65,6,1334.5124750658717
63,12,2409.9681003505084
63,13,2324.419974163465
49,5,1831.369231052664
74,5,1928.3347493425692
29,2,2984.5537043412633
49,3,2579.769084276155
51,10,1804.4605870928208
33,4,3229.0085948865153
65,4,2241.8130640035897
68,8,2203.1927798877723
54,11,1953.1407361191666
42,1,3273.7466415170816
76,5,2941.4874041632784
22,1,2946.7517430521984
23,3,1434.3105384472115
31,7,2105.8488670676215
31,4,2746.082466659881
34,14,3270.93967473432
54,3,2360.614585695097
50,2,2923.1146745170577
29,2,2138.8838573205135
43,2,3025.4759842863455
62,13,2384.9788958660215
25,12,2252.3456871707904
68,3,1800.0474472385658
20,5,1877.6081826632471
46,3,1668.4084062397083
63,12,2465.4162771826727
40,11,3150.2926899161835
45,4,1550.934575760926
23,5,1929.621263988735
38,14,2430.320770100033
37,2,2505.5564834263337
21,2,3059.5832965798127
42,10,2444.014736462937
18,4,1504.3647132272758
50,14,2879.2112282144617
73,8,1813.4793738711596
43,2,2536.421314113101
23,1,3315.456973704292
75,11,2832.0053450431697
27,8,2367.180463687485
46,2,2355.081552515201
49,1,3006.800172554277
30,8,2810.7230385940225
63,0,2360.8702552659865
74,12,2309.067995630009
21,14,1681.4850870603036
26,8,1314.9813973784328
61,8,1285.2237310038722
59,10,1729.0660974872162
36,1,2118.5952322703224
45,0,1677.416921800796
19,12,2174.965109145224
39,6,1910.9858787685628
30,3,2109.273841528306
49,2,2390.276824228315
27,0,3152.3586411294145
55,13,2516.9471802936564
56,5,3940.5036326406625
28,0,2386.4058981395196
21,2,3339.4950163818676
72,10,3186.7394745690026
51,14,2225.2815126697465
64,5,2195.2487028512887
57,7,2769.021896123605
42,0,2228.216811899568
42,12,1308.9933350272674
71,11,2432.3591158918666
58,13,2959.8404189498306
60,9,1768.1752932537943
78,8,3005.340737113316
79,6,2337.18149659196
64,13,2579.2274784817955
71,13,2137.2632781815505
53,7,3496.826616289754
31,13,1292.6851143618946
67,9,2132.305947995863
55,14,3311.5327763527443
18,2,2105.2299476442427
21,12,2895.79109216771
44,7,1559.4171454666653
41,4,2912.748169465194
21,6,2512.3127262483404
52,8,1090.41068136317
71,6,2309.974246932821
33,7,3174.7358366408002
41,4,1532.9761801552183
65,1,3329.9033114916565
36,2,1853.4367941461842
43,4,3319.1444015291636
21,12,2155.603159487258
26,7,2691.300649310949
42,11,3083.047071147658
24,5,1972.041308860104
65,8,3359.6770670174456
48,10,2664.981768959568
26,13,2331.278950690445
41,13,2625.859785374697
48,14,2672.3050775002253
79,6,1957.6152965269255
27,5,3303.9634818354816
57,11,2834.935361290699
59,0,2519.460148611766
41,2,2382.6233831710356
50,4,1513.1604856246317
22,2,2642.89490929939
47,9,2113.7384953659525
25,10,2560.7789069243486
64,6,3245.419893262586
71,7,3084.643426023758
27,7,3066.674771797104
51,4,1780.4550771078355
51,3,3256.937578669751
58,12,3164.496992413643
28,0,1636.4828653944505
64,8,3355.6727320312325
46,9,1914.4772100749747
48,5,2464.314447050132
45,3,2587.048483092579
69,3,3231.2830134357773
58,0,3540.4059034483894
25,3,3124.558524912296
26,4,1318.021527099926
31,3,2923.735269784537
21,1,2990.4198651911456
44,12,2349.8881811632928
74,7,2479.6426082119965
66,9,2193.2030594748217
51,3,2773.902224145063
78,11,3176.6465527994087
42,10,2223.672968201457
57,7,2422.4714625088823
44,11,2077.824231443638
42,12,1991.6421179169079
38,3,1737.2690590469656
18,7,2852.942950880143
69,7,1397.9410757426783
57,1,2229.8554855354696
31,8,2516.426452220332
60,0,2864.6429456091532
75,6,2818.340820307753
60,3,3009.90104644788
68,3,2228.4632013634728
47,2,1906.783414146122
49,6,2877.486121495498
70,0,2797.7319140034265
62,5,2991.5609355571933
49,9,1805.133154860439
40,12,2337.7986225490563
25,9,1902.9316660953932
24,7,2441.238373209433
42,5,2077.460023539983
50,12,2823.9790081063907
48,4,3077.8970446470935
27,14,1717.516695517897
39,6,2352.5753100092434
42,3,1485.5445389297622
74,0,3100.671617052955
53,9,2515.9740737319316
75,10,3400.8606845574714
66,8,1081.3567516368532
46,11,2523.3925181868008
44,13,1763.542670396013
66,5,1343.1519253058289
51,1,2535.0031989757076
30,5,1560.0900550492925
61,10,2756.3712850167667
57,13,2547.9705583677337
59,6,2810.5030207742284
59,7,1998.8490661476674
30,10,2045.3942856388703
30,5,2841.6841012072123
22,9,3323.3767324693204
46,5,2845.8840476166856
45,1,2058.329410863372
78,3,1753.4708870510499
48,10,1741.7889230631117
19,1,2076.6414711575703
47,7,2864.124576662037
44,0,1905.2715969428043
26,8,2697.17198314318
47,2,2387.929399381836
50,6,2076.3416282441335
51,8,1704.087787585532
29,9,2705.5776549017432
22,10,2320.5558796836076
70,11,3061.1542966989546
39,9,1919.3723399096746
65,10,2581.50228035749
48,9,1526.6428067475754
69,10,2012.986801138781
45,5,1504.372692888366
38,10,2931.709277982788
64,1,3579.0309471952883
26,2,2609.3448655846146
69,13,1720.478807460136
59,14,2153.5719358273127
18,11,1132.5543963874861
51,5,2087.8848579030705
38,13,1536.783008862678
44,0,2230.6716401284007
21,12,3206.8078462923377
19,6,3437.3710490685016
79,10,2140.91899903988
22,8,2752.9149646494575
23,14,1860.9354836975804
76,7,3111.8071906699524
79,4,2958.526086499816
18,8,2205.6911595437887
34,6,3051.2578147478657
57,14,2508.974642877629
37,2,3239.0138044944024
21,9,3618.0065136103653
59,2,1303.1332869998469
27,13,2419.3347773347778
21,1,1015.7803059376765
55,1,2738.685298665638
55,10,1920.3054740292441
25,2,2526.2301427333273
39,0,2231.6407785628244
33,12,2098.3059477030774
27,14,2252.829736415667
62,4,3253.346925060771
66,9,2402.6627011708633
37,11,2280.884997408937
79,9,1076.952178798586
41,7,3161.9204476651885
52,10,2607.7301688101466
60,7,3361.8936490827614
26,4,2130.5124067370116
32,6,2073.6473619573144
52,7,1491.3008236622243
60,3,2065.7612545687334
36,10,1551.1167295993814
77,3,2926.8878073965116
36,13,2745.3524988016084
32,11,3006.950831058767
36,12,2521.321589327191
19,8,1120.667106179403
59,10,2425.9238427589603
40,5,2954.2535211683403
48,7,3295.1961024187103
36,11,3154.3830031421176
30,14,2906.9955299788908
63,14,3011.873307761532
45,2,2698.955622290579
33,13,2030.5283648111
29,11,1025.1193436861827
54,1,2301.13338020818
35,3,2822.2522616577444
53,5,2780.6190117811343
67,13,3293.5445796368936
53,12,2699.235270199784
78,4,3005.660310180287
25,12,2224.0307135528865
41,7,2711.1944391862467
52,2,1889.601058834146
46,7,2731.818544973047
29,4,2716.9142022494852
76,6,2988.1826924918105
21,6,2367.744995190304
34,5,2539.368595731426
57,12,2373.2717067237445
48,13,2328.3063132979105
73,10,2468.518438432441
36,13,3001.3163281679067
78,1,2803.055933307083
19,13,1958.5360753712148
50,3,1785.1410648091849
35,7,3263.739524674564
58,4,3007.679515941443
49,13,3229.380911489595
27,3,2986.9723975216107
60,14,1873.2680183761022
51,6,2616.8491325628347
28,10,1678.209930868676
22,10,1761.7496485279905
58,6,2862.0780183639345
78,14,3378.01914915209
49,7,2407.1596700505197
38,7,4113.745308116773
35,4,2454.8717768676806
26,7,2692.9401837630676
29,0,3503.6007436896152
25,10,2778.7479660999397
53,14,2138.9757342882685
28,8,2165.86662254743
23,7,2913.8845172666415
64,10,2475.269505047452
69,10,2455.3920392900964
29,6,2157.2292943305665
57,6,1849.0276906828901
46,10,2938.8389444694967
51,5,3330.6104638992238
69,14,2835.547369513019
21,7,3027.4257798317544
19,4,2938.409075108283
53,9,1756.562071205573
61,12,3516.847470115539
39,0,2434.7745245107344
21,7,2963.254228227575
74,3,2318.5680427820876
29,14,2914.1197217584377
24,5,1486.0198169533746
64,7,2169.1315509860387
79,12,3266.3047976682037
42,7,2594.5118653116356
21,2,3626.6906698101848
23,1,1909.1981454665247
31,4,1196.2242350124152
74,1,2288.268173257627
64,10,3419.701842825435
47,6,2737.8914157996455
26,4,3199.703295761235
61,6,3594.4646144499193
59,12,1751.9563727336422
74,2,3905.1156211783136
75,4,1407.1642527179997
73,13,2516.897087265195
38,3,2713.493354012619
72,0,2846.3677959127995
57,13,2856.4561005124556
27,7,2538.1179903122934
51,3,2984.3887671687808
76,13,2654.462842294684
62,12,2545.790817929921
64,7,2181.041117960473
28,7,2296.9040569341664
79,10,2408.668380454911
76,8,2781.0340055021165
53,6,2136.634277749393
58,6,1862.1441997847246
28,14,2001.2702128828928
67,4,2581.725723574151
60,14,2850.8553261019624
74,11,2865.5534940961616
19,6,3113.307457056614
70,11,2541.971936650117
50,9,3361.334367993154
79,14,2863.5165562234115
53,2,2708.7565824899184
44,11,2860.277183984009
61,5,2454.9818415814852
29,5,2346.796494398436
64,4,2773.3858053712224
32,5,1993.536901290744
56,14,2045.1398633517817
30,7,1541.668906407785
55,10,1379.506896932616
76,0,2266.2890748713444
20,9,2797.3663223742014
46,14,1895.605236118191
75,9,1518.886815860494
50,5,3514.9825248249135
21,12,3244.859809597103
47,5,3396.4089027697087
59,8,1978.899421672434
41,14,2846.194236445892
32,0,2862.8058542418644
48,6,1061.6417556344911
21,4,2521.796899444066
55,14,1546.3440062670816
79,11,2452.649300101092
79,12,2721.967021841293
77,9,1642.1275956712911
35,6,1459.2869110400875
68,7,1995.6625024338457
40,12,2732.9334634250595
39,0,3024.7436617998915
59,4,2240.589151820411
54,13,2335.05937293184
29,11,3012.492962218172
78,2,1731.3377477864715
38,3,1967.203611011369
20,9,2509.1406197137026
22,0,2003.4210052378417
67,6,1473.2948945088144
27,6,2267.2178960673746
19,12,1899.3631763351086
23,11,2696.5184551291863
68,7,1874.3468587905504
27,0,2676.7334987333447
42,8,1858.577962508003
39,14,2822.2386778417326
75,5,3445.5886000164755
71,11,2513.469114573641
79,3,2929.738234847201
32,5,2452.660250744998
56,4,2502.8378560640917
70,14,2600.820014841989
75,4,2823.898639281289
55,2,3609.067986083829
58,1,3039.369580013544
68,6,2311.6052730023757
18,14,3398.948006513183
20,14,1908.050819097318
71,5,2250.2269989541437
52,1,2954.027588857589
54,10,1809.314913528649
47,6,1913.1656895762624
51,14,2561.290708695247
69,12,3143.764277930671
42,5,3363.186439811676
54,9,1688.755434456266
54,11,1640.5898869524094
73,4,3362.1643888391136
49,14,1841.3417608380562
47,12,3742.5505144856324
19,12,1713.1829931690872
43,11,2194.9161910727944
64,6,2006.2957234483445
72,2,2119.0040911606347
22,0,2195.694775665491
27,4,2779.168789607997
61,4,1739.5736469827461
46,13,1820.2889959905904
48,3,2081.7248192436045
59,9,2638.5870391440953
70,1,2647.91437897107
43,6,2733.3708825380936
31,13,2862.630859753479
21,2,1762.3868695826563
45,4,2938.77607363078
35,2,2058.6781375244786
53,12,2063.4666671712307
63,12,2178.751663992072
50,12,2070.7198804326554
32,4,2701.5767287691706
42,12,2145.6363862489998
70,1,1297.3178879308148
71,13,3113.9978950458235
32,8,2622.019706716852
35,4,3226.243778377813
53,7,2286.3615087611615
78,4,1952.531220176615
60,8,2240.1328867933535
70,14,2509.631586320248
54,5,2692.5323613774317
23,3,2517.5012743990674
53,14,1885.9776885565157
28,6,2917.695055709924
75,3,2805.656986669395
60,3,1439.6930450885852
60,10,2209.930848341236
24,5,1559.750201958152
61,7,1481.460126819018
55,14,2498.248928474321
71,14,2226.786417577219
69,11,2434.4397804421897
44,7,2236.8830380951085
30,0,2953.1265827053853
43,12,2436.1036399570858
27,7,2392.9793380831425
47,12,2436.033749393268
40,0,2558.9791539877806
19,13,2860.707884163555
35,7,2716.476752486815
50,9,2922.153361222943
27,9,2264.383905582567
18,0,3621.391881440134
41,10,2340.237258076414
58,6,2803.1254980719787
30,14,2627.4560574733714
34,3,2569.227464593222
23,1,1426.4463537889922
69,10,864.5664826633106
78,7,2781.5090144732435
63,10,2221.838882778134
39,2,2520.0957845847597
34,7,3300.6846562191135
66,1,2137.093470105845
52,8,1262.9937062845709
47,12,2098.502651981816
23,7,3492.6757389178465
57,4,3814.817602170465
43,13,2560.137950691142
20,9,1375.6413378063028
62,8,3601.0404575065777
51,8,1466.2079930234179
58,1,2401.3458958050096
73,10,4013.069929310087
63,5,3084.445872946153
63,6,1903.5936859015815
63,11,3147.6450866007012
20,6,2871.0981571028005
60,12,3253.11934262413
58,2,2674.7529233282535
67,2,3231.1441577076853
26,4,2587.483640144105
45,11,1373.1269792598566
56,5,3106.658041582553
67,14,3424.0922914260527
75,0,2297.2421342672333
79,10,2411.6388552905064
61,10,1895.5472790058388
35,1,3085.463369491392
50,4,2824.4164132482815
53,14,1822.7654425913183
38,2,2257.771832371114
61,13,2189.7723040937317
20,11,1681.7152769006138
68,0,2643.9999381797124
34,8,2253.9215645558925
49,6,2153.98100307987
32,11,1012.5911736638184
31,10,2413.9068959562346
63,9,2542.0215533311703
24,10,2347.139431888545
36,13,3239.482307984323
43,3,2018.5649257728855
66,6,1930.491769168919
19,9,2939.9671956225807
28,9,2653.758377263203
55,1,2566.503295732492
77,1,2538.756133591628
64,7,1802.4453561295581
54,14,2444.4662305928614
21,9,2894.093306369358
68,5,3345.7989244804885
33,6,2619.0521899036994
60,11,2127.7855050386343
51,7,2001.325617694407
48,12,1904.8132453308617
55,5,1397.9967567352348
64,10,2196.654753712001
70,2,2591.372466797088
70,2,3234.227342148773
73,5,2413.8290056129736
69,14,2469.3926122665353
69,0,2399.8340656394926
65,10,2171.1496384049233
64,13,2171.9756214578492
61,5,2220.76612985088
37,6,3019.260337489458
18,4,2008.1004192457165
21,8,1447.512117854506
56,12,2054.5672876941917
73,6,2039.6523162714902
74,11,3376.5050341472725
56,10,2872.937459609746
24,5,2389.5864325398843
19,0,1436.725048841246
59,8,1948.844894798237
25,7,2844.400210984772
38,6,2523.5346176250905
74,8,2344.0886713934005
45,0,1994.7853325542194
77,7,2532.176068143724
63,8,2244.3898594553266
63,6,1269.2926637362414
44,5,1379.692806124836
35,10,3269.992505263011
45,3,2467.9162358274575
25,3,3315.881527565643
71,1,2791.1263138080944
62,5,3195.6737521040245
22,7,1414.8861553861816
21,7,3052.984011266724
21,5,3117.2617622123807
61,14,3490.752517911348
71,11,2322.9552217191726
24,14,3205.1644298756783
46,7,2960.557042553264
67,14,1826.156500715081
44,9,2409.9317077240903
29,3,1381.8720258627181
63,2,2009.6770525702384
18,2,2003.2247396471564
41,1,2567.8933002641197
55,5,2325.1466203478954
20,1,1572.9993999141816
74,1,1900.06812247494
26,9,2255.0005409353957
52,11,1962.3877670355516
67,14,2442.4941906408453
47,9,2463.3577294631727
30,5,1933.8189878881167
51,5,1351.8448193404574
60,14,2245.534684271493
59,1,2506.0347674039936
29,10,2212.503908027071
29,1,3632.5175623731093
43,2,3321.701576862876
41,14,2230.8028487131305
66,8,3100.4757865073175
59,4,2702.444606795985
75,12,2417.7260674290624
37,6,2546.50605616085
36,1,2118.720149889607
44,12,1290.1705954167874
59,12,2141.670348309787
76,9,1972.5233783084639
66,8,3363.1755762066573
19,12,2440.450842096018
40,3,2408.975975648757
24,5,1359.5200684472243
25,6,1746.4976988870421
79,14,2743.249550422006
72,4,2377.033683467678
21,4,2660.768143427291
63,7,2014.9442872702216
46,3,3412.221251559648
18,12,2175.0003979307585
75,4,2985.3913279779395
18,12,2880.64145231207
47,9,3038.8326702039635
39,3,2682.079544524461
38,4,2439.1570509605444
25,13,2354.98367086081
71,5,2125.9998765839555
56,11,2095.9883172243126
58,9,1356.4570034028866
67,11,1898.286996778296
19,14,2365.9632221119837
31,5,1853.49922137679
42,10,2925.296475365502
57,14,3168.3198593203488
55,11,2688.742783805986
19,13,2262.688328724933
52,0,3277.2591413659384
52,5,3346.8323149417492
30,11,3605.9535656840353
64,13,2038.3462244517873
38,10,2908.2672527539366
31,14,2670.2539055488924
20,11,2279.799862872542
32,6,1674.4719916157737
47,4,1929.3715131078634
58,12,2301.788084884604
52,9,3560.2453846233566
44,0,1212.003590945983
57,8,2737.5934213753
59,13,2943.9233178145173
33,10,1636.9782887950198
45,0,2173.511541957923
53,13,2222.3846761030886
24,12,3142.4489821075954
19,8,2272.5186864586767
60,14,3634.021558727423
49,8,2702.8836285781326
24,2,851.0842139624426
31,13,3067.38860590911
28,0,3811.1490967244263
74,8,2237.403045581027
69,6,2551.083660102061
50,14,2871.2460354364275
34,1,2455.0870725717064
40,3,2713.1054631777033
60,10,2534.5026815936217
71,10,2451.8660168569513
75,8,2235.9311162453105
25,1,1714.1260816470015
59,0,3279.5918663402585
79,2,2747.0134154816656
52,12,2421.2031031843976
40,10,3560.6046146379294
62,9,1961.0208220614456
60,7,3095.7841940531302
54,14,1784.3066727431203
28,3,2341.4580094819903
27,14,1953.7549635847058
60,10,1190.169990782457
34,5,3292.27898947884
46,10,2494.958514312311
68,3,2600.97631173849
40,7,2551.521192104644
58,3,2547.1601366703544
40,8,3010.6338217213925
43,3,2341.271918889789
58,4,3725.585530538505
37,2,3010.929894944917
55,4,2782.153123552059
34,3,2690.3241843779897
61,2,2015.0531674665588
59,9,2204.328947004293
18,5,2369.001502185301
74,11,2032.7019944830201
31,14,2879.6895574650166
45,8,2824.440469434022
71,9,1300.869493959083
65,4,2827.526787108635
74,0,2296.793228224049
79,13,2430.016462172274
21,3,2020.6577241916727
22,6,2677.8132116586053
30,13,2802.20635853105
18,8,2700.366642826522
57,6,2185.415591220698
68,1,1686.9928425458315
45,13,2235.482271226451
21,8,1996.6018596476258
23,0,2498.674221083369
64,3,2092.4539173730764
68,2,2255.228920339901
21,1,1584.8527233334773
52,11,1983.0672066541263
32,6,2387.725757320965
40,5,1119.546419337094
45,4,2598.881180617933
59,9,2278.2838281327645
33,4,2781.6357421511284
63,0,3149.7323909284264
63,6,2818.9391136330723
49,3,2651.92145575687
18,3,2437.6689208949806
53,1,2731.0748215409008
70,4,1983.073703469335
68,9,2161.759102552429
41,1,2313.5324360272875
61,1,3299.887314446915
37,11,2691.9702807420763
64,12,1005.2579849574863
40,14,1327.564653454582
55,7,1582.2062283321102
23,5,2289.9690970042807
57,0,3485.341649876837
75,5,2786.518083964127
59,4,2510.3208310052473
24,8,2100.4380340962784
61,10,2810.219384050321
52,7,2911.464717170481
33,4,2137.6337993295037
77,10,1885.638016474772
26,4,2730.9566648127675
54,8,2501.9636055138303
40,7,2187.581270575624
37,0,1711.7629579628674
18,12,2789.252762918876
78,14,2715.4984494699825
57,14,2818.552884610357
42,9,2759.2428903133705
46,14,3109.2492887470544
48,8,2754.692177910424
66,12,2157.375197292861
41,7,2443.809725921491
79,6,2017.7226184381748
64,9,1023.8862605235336
53,13,2671.101136451977
66,10,2355.416276288875
64,3,3278.6633004323894
56,10,1931.2144917479122
54,0,1947.9889060707724
21,0,1768.2594549541313
43,5,1326.6488969291843
58,6,3471.606482614237
